,R001H368E,R001H369E,R001P320B,R001P313B,R001J139B,R001J140B,R001J141B,R001J142B,R002R020A,R002R019A,R001J139C,R001J140C
,GSKB U002-B3,GSKB U003-B3,GSKB U004-B2,GSKB U005-B2,GSKB U006-A4,GSKB U007-B0,GSKB U008-A3,GSKB U009-A3,GSKB U010-A1,GSKB U011-A0,GSKB U006-A5,GSKB U007-B1
GSKB P001-BO,0,0,0,0,0,0,0,0,0,0,0,0
GSKB P007-B0,0,0,0,0,0,0,0,0,0,0,0,0
GSKB P018-A4,2,2,2,2,0,0,0,0,0,0,0,0
GSKB P018-A4-1,0,0,0,0,2,2,2,2,2,2,0,0
GSKB P023-A0,0,0,0,0,0,0,0,0,0,0,2,2
GSKB P019-A3,1,1,1,1,1,1,1,1,1,1,1,1
GSKB P002-L370-A4-1,1,1,0,0,0,0,0,0,0,0,0,0
GSKB P002-L373-A4-1,0,0,0,0,1,1,1,1,1,1,1,1
GSKB P002-L455-A4-1,0,0,1,1,0,0,0,0,0,0,0,0
GSKB P003-A4-1,2,2,2,2,2,2,2,2,2,2,2,2
GSKB P004-A1,0,0,1,1,0,0,0,0,0,0,0,0
GSKB P005-D8.4-B1-2,1,1,1,1,1,1,1,1,1,1,1,1
GSKB P020-A4,1,1,1,1,0,0,0,0,0,0,0,0
GSKB P020-2-A4-1,0,0,0,0,1,1,1,1,1,1,1,1
GSKB P008-B0,0,0,0,0,0,0,0,0,0,0,0,0
GSKB P009-B0,0,0,0,0,0,0,0,0,0,0,0,0
GSKB P008-B1-1,1,0,0,0,0,0,0,0,0,0,0,0
GSKB P009-B1-1,0,1,0,0,0,0,0,0,0,0,0,0
GSKB P010-A5-1,0,0,1,0,0,0,0,0,0,0,0,0
GSKB P011-A5,0,0,0,1,0,0,0,0,0,0,0,0
GSKB P013-A5-1,0,0,0,0,1,0,0,0,0,0,1,0
GSKB P014-A5-1,0,0,0,0,0,1,0,0,0,0,0,1
GSKB P015-A5,0,0,0,0,0,0,1,0,0,0,0,0
GSKB P016-A4,0,0,0,0,0,0,0,1,0,0,0,0
GSKB P021-A2,0,0,0,0,0,0,0,0,1,0,0,0
GSKB P022-A1,0,0,0,0,0,0,0,0,0,1,0,0
